Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2019,"9         ",Male,14,Right-Handed,159,26,68,2,"Rail (Train/Tram/Subway)",50,0.728,37,"Hockey (Field)",1000,1000,1000,1000,1000,1000,10,"Same length",7,,,November,Summer,No,No,Fruit,Other,Other,5,8,3,"Yes - broadband connection","Text messaging",10,50,2-1/2,3,1/2,3,3,4,3,3,4,3,0,3,"Very little","High school","Rap/Hip hop","Super strength",Rich,Other,"Wildlife, animals"
USA,NY,2018,"12        ",Male,17,Right-Handed,172,28,,4,"Rail (Train/Tram/Subway)",45,.396,39,Other,200,200,150,250,700,850,28,"Same length",78,77,"Index finger",August,Summer,No,No,Meat,Water,Other,7,11,2,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",7,6,3,1,2,1,1,15,4,2,4,15,0,4,None,"Graduate degree","Rock and roll",Invisibility,Famous,Actor,Health
USA,NY,2021,"12        ",Female,17,Right-Handed,156,26,148,2,"Rail (Train/Tram/Subway)",40,0.421,39,"Martial Arts",800,800,700,700,700,800,26,"Same length",67,74,"Ring finger",April,Fall,No,No,Desserts,Water,English,7,8,4,"Yes - broadband connection","Text messaging",20,60,30,1,10,5,4,4,4,4,6,0,0,2,"A lot","Undergraduate degree",Other,"Freeze time",Happy,Relative,"Wildlife, animals"
USA,NY,2016,"11        ",Female,16,Right-Handed,162,21,80,2,Car,5,.363,42,Basketball,807,610,626,278,786,914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2017,"6         ",Male,12,Right-Handed,174,26,161,1,Walk,3,.27,33,Baseball/Softball,700,200,700,900,100,500,25,"Right foot",70,63,"Index finger",January,Winter,No,No,Fruit,Water,"Mathematics and statistics",9,9,3,"Yes - other","In person",100,300,6,0,12,4,10,4,2,1,3,4,0,1,Some,"Graduate degree",Pop,"Super strength",Happy,Relative,Environment
USA,NY,2019,"10        ",Male,16,Right-Handed,171,23,168,1,"Rail (Train/Tram/Subway)",50,1.397,53,"Martial Arts",1000,998,997,999,100,200,23,"Same length",75,75,"Same length",August,Summer,No,No,Meat,Water,Science,8,12,3,"Yes - broadband connection","Text messaging",0,2,2,1,10,5,2,5,1,2,16,1,0,2,"A lot","Graduate degree","Heavy metal",Invisibility,Happy,Other,Environment
USA,NY,2023,"12        ",Male,17,Left-Handed,189,n/a,n/a,1,"Rail (Train/Tram/Subway)",45,0.672,72,Running/Jogging,900,800,800,700,600,600,n/a,"Left foot",n/a,n/a,"Index finger",June,Fall,No,No,"Rice/Noodle dishes",Milk,Science,7,10,4,"Yes - broadband connection","Text messaging",6,9,5,1,8,6,5,5,7,7,14,2,0,6,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,"Community leader or elder","Wildlife, animals"
USA,NY,2018,"10        ",Female,16,Right-Handed,156,23,162,2,"Rail (Train/Tram/Subway)",30,0.386,50,"Table Tennis",600,680,500,700,1000,1000,23,"Same length",90,100,"Ring finger",January,Spring,No,No,Pizza/Pasta,Water,English,5,12,4,"Yes - other","Cell phone",40,40,2,7,6,3,1,0,7,7,7,1,0,1,"A lot","Undergraduate degree","Rhythm and blues (R&B)",Telepathy,Happy,Other,"International aid"
USA,NY,2024,"11        ",Female,16,Right-Handed,167.6,24,168,1,Car,3,.335,52,Other,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2011,"11        ",Female,16,Right-Handed,166,25.5,170,1,Bus,45,0.307,39,Other,658,658,824,,1000,822,25.3,"Right foot",95,99,"Ring finger",December,Fall,No,No,Other,Tea,History,7,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,50,14,1,21,16,3,1,12,21,28,14,0,14,"A lot","Graduate degree",Other,"Freeze time",Happy,Relative,"International aid"
