Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2020,"12        ",Male,18,Right-Handed,180,25,166,1,Car,"10 ",0.534,50,Other,800,500,600,900,100,150,25,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2018,"4         ",Female,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2023,"12        ",Female,17,Right-Handed,160,25,155,2,Car,10-15,0.787,33,None,,,,,,,25,"Same length",48.7,50.8,"Ring finger",August,Summer,No,No,Fruit,Water,"Social studies",8,6,2,"Yes - broadband connection","Internet chat or instant messaging",10,7,7,3,2,3,0,2,1,1,2,2,0,2,Some,"Graduate degree",Pop,Telepathy,Healthy,Relative,Health
USA,TX,2023,"12        ",Male,17,Right-Handed,188,2.54,188,2,Car,6,.694,37,"Football (American)",1000,1000,1000,1000,1000,1000,2.54,"Same length",,,"Same length",June,Fall,No,No,Meat,Water,"Mathematics and statistics",7,8,5,"Yes - other","Text messaging",150,637,10,5,3,4,5,1,7,15,20,0,15,1,Some,"Some college",Country,Telepathy,Happy,Relative,Health
USA,TX,2012,"8         ",Male,13,Right-Handed,181,25,171,1,Walk,5,.436,45,Basketball,650,700,750,750,700,750,25,,80,70,"Ring finger",August,Fall,No,No,Meat,Water,"Physical education",8,10,4,"Yes - broadband connection","Text messaging",180,190,8,1,5,5,16,6,4,15,7,5,4,8,Some,"Undergraduate degree","Rap/Hip hop","Freeze time",Happy,"Coach or club leader",Health
USA,TX,2015,"4         ",Male,9,Right-Handed,136,21,141,1,Car,7,0.902,67,Basketball,1000,1000,1000,1000,567,1000,21,"Same length",50,57,"Ring finger",February,Summer,No,No,Desserts,"Soft drink (non-caffeinated)","Physical education",10,10,3,"Yes - other","In person",0,0,7,0,4,7,7,7,0,0,0,7,0,5,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Rich,Friend,Health
USA,TX,2016,"12        ",Male,17,Right-Handed,178,27,,1,Car,20,.324,33,None,738,647,588,556,909,1000,26,"Right foot",72,72,"Same length",June,Fall,Yes,No,Pizza/Pasta,"Soft drink (non-caffeinated)","Computers and technology",8,10,3,"Yes - broadband connection","Internet chat or instant messaging",28,35,4,0,8,3,0,27,1,1,50,0,0,0,Some,"Graduate degree",Techno/Electronic,Invisibility,Happy,Relative,Health
USA,TX,2019,"8         ",Male,15,Right-Handed,"5,9cm",10cm,50,1,Bus,15,0.34,102,"Football (American)",1000,1000,1000,1000,1000,1000,10,"Same length",10,11,"Ring finger",November,Summer,No,No,Pizza/Pasta,Water,Science,11,13,5,"Yes - other","Text messaging",1,0,6,3,0,24,24,24,24,4,24,24,0,24,"A lot","Graduate degree",Pop,Invisibility,Rich,"Sports person","Education/Youth development"
USA,TX,2021,"12        ",Male,17,Right-Handed,195,35,185,1,Car,5,.685,62,Basketball,700,700,700,600,500,500,34,,87,90,"Ring finger",September,Fall,Yes,No,"No favorite",Water,Music,8,12,3,"Yes - other","In person",10,10,60,5,5,20,30,0,10,20,20,30,15,10,Some,"Undergraduate degree","Rap/Hip hop",Fly,Happy,Relative,Religious
USA,TX,2024,"11        ",Female,17,Right-Handed,159,23,152,2,Car,7,0.422,45,Swimming,856,492,487,647,16,868,22,"Right foot",7.3,7.8,"Ring finger",July,Spring,Yes,No,Meat,Water,Science,8,5,4,"Yes - other","Text messaging",41,57,7,.5,3,6,10,4,22,40,40,7,0,7,"Very little","Graduate degree",Other,"Freeze time",Healthy,Relative,"Education/Youth development"
