Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,OH,2021,"12        ",Male,18,Right-Handed,172,30,174,1,Car,10,0.286,62,Athletics,970,920,950,940,890,900,30,"Same length",120,90,"Ring finger",March,Fall,Yes,No,Pizza/Pasta,"Soft drink (caffeinated)","Computers and technology",6,8,4,"Yes - other","Text messaging",50,50,0,8,5,10,1,10,10,10,10,10,12,10,"Very little","High school",Other,"Freeze time",Rich,Relative,Health
USA,OH,2023,"6         ",Male,11,Right-Handed,145,23,142,1,Car,15,0.3,62,None,845,500,200,1000,1000,1000,23,,60,62,"Ring finger",June,Summer,Yes,No,Meat,Water,"Computers and technology",6,10,4,"Yes - broadband connection","Internet chat or instant messaging",60,167,6,3,12,2,0,16,0,3,93,2,0,2,"A lot","Some college",Techno/Electronic,"Freeze time",Famous,Other,"International aid"
USA,OH,2020,"7         ",Male,11,Right-Handed,152,24,150,2,Bus,20,0.406,40,Swimming,1000,1000,561,722,444,719,23,"Right foot",85,85,"Same length",March,Summer,No,No,"Rice/Noodle dishes",Juice,"Mathematics and statistics",9,9,4,"Yes - broadband connection","In person",0,0,2,0,3,3,1,3,1,20min,5,2,0,3,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Healthy,"Doctor or nurse",Health
USA,OH,2011,"12        ",Female,17,Left-Handed,163,24,168,1,Car,5,0.775,50,Dancing,800,700,900,,500,800,24,"Same length",60,80,"Ring finger",December,Fall,Yes,Yes,"Rice/Noodle dishes",Water,Music,5,12,4,"Yes - broadband connection","In person",0,0,8,1,2,1.5,0,0,16,3,24,4,0," 2","A lot","Undergraduate degree","Rock and roll",Fly,Happy,"Musician or singer","Wildlife, animals"
USA,OH,2022,"7         ",Female,12,Right-Handed,155,22,153,1,Walk,10,0.327,37,Soccer,900,600,700,800,200,600,21,"Right foot",69,58,"Index finger",December,Winter,Yes,No,Desserts,Water,Art,10,11,4,"Yes - broadband connection","In person",2,1,1,0,2,6,0,1,0,0,2,3,0,1,Some,"Graduate degree","Rock and roll",Telepathy,Happy,Relative,"International aid"
USA,OH,2012,"12        ",Female,17,Right-Handed,167.6,24.5,164,2,Car,10,.4,29,Other,900,900,900,900,200,200,23,"Right foot",69,71,"Ring finger",January,Fall,No,No,"Rice/Noodle dishes",Water,Art,7,8,3,"Yes - broadband connection","Text messaging",15,20,3,3,15,1,20,0,2,2,20,3,9,3,Some,"Undergraduate degree",Country,Fly,Happy,"Coach or club leader","Wildlife, animals"
USA,OH,2012,"5         ",Male,12,Right-Handed,138,22,124,1,Bus,30,0.616,66,Baseball/Softball,1000,508,200,300,100,100,22,"Same length",15,17,"Ring finger",December,Summer,No,Yes,Pizza/Pasta,Milk,History,6,9,5,"Yes - broadband connection","In person",0,0,6,1,3,10,5,6,1,0,6,11,1,3,"A lot",Other,Country,Fly,Healthy,Other,Other
USA,OH,2019,"7         ",Female,13,Right-Handed,4'11,10,60,1,Bus,5,,,Basketball,471,1000,32,449,0,0,9,"Right foot",4,4,"Same length",January,Spring,No,No,Meat,"Soft drink (caffeinated)","Physical education",6,8,5,"Yes - other",,50,400,3,1.5,1,4,3,1,1,2,0,0,0,1,"A lot","High school","Rap/Hip hop",Fly,Happy,Other,Health
USA,OH,2013,"9         ",Male,14,Right-Handed,63,22,,2,Car,5,2999,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,OH,2023,"7         ",Male,13,Right-Handed,151,11,170,1,Bus,17,0.401,46,Soccer,920,572,733,412,91,332,18,"Left foot",30,30,"Same length",February,Summer,No,No,Seafood,Water,History,8,4,2,"Yes - broadband connection","Internet chat or instant messaging",1,0,3,4,1,5,8,4,1,1,4,2,0,1,"A lot","High school",Pop,Invisibility,Happy,"Sports person",Religious
USA,OH,2013,"9         ",Female,16,Left-Handed,1056,23,65,1,Bus,20,20,30,Dancing,0,0,90,1000,1000,1000,9,"Right foot",70,3,"Index finger",April,Summer,Yes,No,Meat,"Powdered drink","Physical education",7,7,7,"Yes - other","Text messaging",4,3,"24 ",60,60,24,24,0,30,24,0,24,24,24,"A lot","Graduate degree",Gospel,Invisibility,Rich,Relative,Health
USA,OH,2022,"7         ",Male,12,Right-Handed,171,2.7,171,2,Car,7,.242,33,Swimming,679,840,930,802,401,706,2.6,"Right foot",11.5,12,"Ring finger",June,Winter,No,No,Seafood,Water,Science,8,12,3,"Yes - other","In person",0,0,25,0,7,25,6,15,0,0,26,30,3,3,Some,"Graduate degree",Jazz,"Freeze time",Happy,Relative,"Wildlife, animals"
USA,OH,2016,"12        ",Female,17,Right-Handed,167,22,167,1,Car,10,,,Running/Jogging,800,900,900,900,900,900,22,"Same length",85,83,"Index finger",November,Fall,No,No,Pizza/Pasta,Water,"Physical education",6,10,5,"Yes - other","Text messaging",200,201,15,0,5,2,15,0,4,100,1,12,5,2,"A lot","Graduate degree",Country,Telepathy,Rich,"Sports person","Wildlife, animals"
