Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,AK,2020,"10        ",Female,16,Right-Handed,77,7,77,1,Car,"15 m",20,20,Other,1000,1000,1000,1000,1000,1000,7,"Same length",6,6,"Same length",September,Fall,Yes,No,Other,"Energy drink",History,8,5,3,"Yes - dial-up connection","Text messaging",2,2,10,10,10,10,10,,,,,,,,,,,,,,
USA,AK,2021,"11        ",Female,16,Right-Handed,180,23,,"2 ",Bus,"20 ",,,Walking/Hiking,900,700,800,1000,500,600,23,"Same length","60.8 ",60.5,"Index finger",November,Summer,Yes,No,Poultry,Water,Art,6,10-12,6,"Yes - dial-up connection","In person",50+,50+,24,3,6,10,0,1,5,6,6,2,20,3,"A lot",Other,Other,Invisibility,Happy,Friend,"International aid"
USA,AK,2020,"12        ",Female,16,Right-Handed,174,25,177,1,Bus,9,0.372,59,Walking/Hiking,829,380,631,465,364,727,25,"Same length",8,7.5,"Index finger",August,Summer,No,No,Fruit,Water,Art,5,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,60,13,1,1,12,0,24,30,3,30,40,0,6,"Very little","High school",Other,"Freeze time",Happy,"Musician or singer",Health
USA,AK,2020,"10        ",Female,15,Right-Handed,159.1,26,156.7,1,Bus,45min,0.681,38sec,Walking/Hiking,500,750,999,700,1000,900,27,"Left foot",6.2,7.5,"Ring finger",May,Spring,Yes,No,"Rice/Noodle dishes",Coffee,History,6,11,5,"Yes - dial-up connection","Text messaging",100,100,7,48,7,10,0,10,50,62,25,7,0,12,Some,"Some college",Country,Invisibility,Rich,Teacher,"Wildlife, animals"
USA,AK,2016,"11        ",Male,17,Right-Handed,180,29,190,1,Car,10,0.319,44,Basketball,1000,500,0,500,0,0,28,"Right foot",8.5,9,"Ring finger",March,Spring,No,No,Other,Water,English,6,9,6,"Yes - other","Text messaging",80,100,10,100,10,10,100,8,10,24,,,,,,,,,,,
USA,AK,2017,"12        ",Female,17,Left-Handed,177,23,167,1,Car,15,0.41,33,Soccer,877,450,369,877,203,561,24,"Left foot",75,70,"Index finger",October,Spring,No,No,"Rice/Noodle dishes",Water,History,7,10,4,"Yes - broadband connection","In person",10,10,2,1,10,12,0,2,4,2,14,14,0,5,"A lot","Graduate degree",Pop,Telepathy,Happy,Relative,Environment
USA,AK,2018,"12        ",Female,16,Left-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,AK,2016,"11        ",Male,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,AK,2021,"11        ",Male,15,Left-Handed,177.8,25,185,2,Bus,25,,,Baseball/Softball,1000,250,500,250,500,500,25,"Same length",80,90,"Ring finger",January,Winter,No,No,Meat,"Sports drink",Science,7,5,3,"Yes - broadband connection",Other,10,9,,,,,,,,,,,,,Some,"Some college","Rock and roll","Freeze time",Happy,"Sports person",Environment
USA,AK,2017,"12        ",Male,17,Right-Handed,166,26,170,2,Bus,25,.606,43,Soccer,727,666,999,838,757,623,26,"Same length",96,96,"Same length",December,Winter,Yes,No,"No favorite",Water,"Physical education",5,12,6,"Yes - broadband connection","Internet chat or instant messaging",15,15,13,2,0,5,15,2,1,20,42,1,0,1,None,Other,"Rap/Hip hop",Fly,Rich,Relative,Environment
